U.S. Regional Level,ID Code,U.S. Regional Title,No Of Patents,Total,Latitude,Longitude
"Metropolitan
Statistical Area",134580,"Mount Vernon-
Anacortes, WA",23,181,48.419677,-122.338803
"Metropolitan
Statistical Area",136220,"Odessa, TX",16,177,31.8457149,-102.367687
"Metropolitan
Statistical Area",119460,"Decatur, AL",12,176,34.6060203,-86.9838165
"Metropolitan
Statistical Area",146220,"Tuscaloosa, AL",25,176,33.2095614,-87.5675258
"Metropolitan
Statistical Area",114540,"Bowling Green,
KY",10,172,36.9903199,-86.4436018
"Metropolitan
Statistical Area",149420,"Yakima, WA",7,170,46.601557,-120.510842
"Metropolitan
Statistical Area",122180,"Fayetteville, NC",13,168,35.0525759,-78.878292
"Metropolitan
Statistical Area",129340,"Lake Charles, LA",8,166,30.2305095,-93.2169807
"Metropolitan
Statistical Area",133140,"Michigan City-La
Porte, IN",12,163,41.7099264,-86.8946587
"Metropolitan
Statistical Area",122900,"Fort Smith, AR-OK",17,162,35.49209,-97.50328
"Metropolitan
Statistical Area",117980,"Columbus, GA-AL",12,161,33.7581569,-86.7533259
"Metropolitan
Statistical Area",145820,"Topeka, KS",8,157,39.049011,-95.677556
"Metropolitan
Statistical Area",139380,"Pueblo, CO",18,150,38.263995,-104.6141867
"Metropolitan
Statistical Area",141140,"St. Joseph, MO-KS",4,149,38.50029,-98.50063
"Metropolitan
Statistical Area",119140,"Dalton, GA",9,147,34.7691867,-84.9702475
"Metropolitan
Statistical Area",145460,"Terre Haute, IN",7,145,39.4667025,-87.4139119
"Metropolitan
Statistical Area",120100,"Dover, DE",8,144,39.158168,-75.5243682
"Metropolitan
Statistical Area",113740,"Billings, MT",13,140,45.7874957,-108.49607
"Metropolitan
Statistical Area",131020,"Longview, WA",8,140,46.1377048,-122.934462
"Metropolitan
Statistical Area",117300,"Clarksville, TN-KY",8,137,36.68373727562121,-87.29182286360417
"Metropolitan
Statistical Area",131900,"Mansfield, OH",12,137,40.75839,-82.5154471
"Metropolitan
Statistical Area",133740,"Monroe, LA",12,136,32.5025471,-92.116219
"Metropolitan
Statistical Area",127780,"Johnstown, PA",7,133,40.3267407,-78.9219698
"Metropolitan
Statistical Area",139660,"Rapid City, SD",10,133,44.0806041,-103.228023
"Metropolitan
Statistical Area",141780,"Sandusky, OH",9,133,41.2951563,-83.1555438
"Metropolitan
Statistical Area",117420,"Cleveland, TN",4,132,35.1595182,-84.8766115
"Metropolitan
Statistical Area",148660,"Wichita Falls, TX",10,132,33.9004572,-98.5020777
"Metropolitan
Statistical Area",113900,"Bismarck, ND",4,131,46.808327,-100.783739
"Metropolitan
Statistical Area",148540,"Wheeling, WV-OH",6,131,40.1069506,-80.8525981
"Metropolitan
Statistical Area",129420,"Lake Havasu City-
Kingman, AZ",11,129,35.114652,-113.718391
"Metropolitan
Statistical Area",137380,"Palm Coast, FL",13,126,29.5541432,-81.2207673
"Metropolitan
Statistical Area",131460,"Madera-
Chowchilla, CA",13,125,37.1229862,-120.2622913
"Metropolitan
Statistical Area",121060,"Elizabethtown, KY",9,124,37.693952,-85.8591285
"Metropolitan
Statistical Area",136980,"Owensboro, KY",8,124,37.7742152,-87.1133304
"Metropolitan
Statistical Area",132580,"McAllen-Edinburg-
Mission, TX",14,123,30.846856,-99.241264
"Metropolitan
Statistical Area",141540,"Salisbury, MD",4,123,38.366027,-75.6009964
"Metropolitan
Statistical Area",116180,"Carson City, NV",5,122,39.1663259,-119.7670374
"Metropolitan
Statistical Area",127860,"Jonesboro, AR",25,122,35.8272257,-90.6949871
"Metropolitan
Statistical Area",122520,"Florence-Muscle
Shoals, AL",11,121,34.830621,-87.63201922602904
"Metropolitan
Statistical Area",125620,"Hattiesburg, MS",9,119,31.3271189,-89.2903392
"Metropolitan
Statistical Area",134620,"Muncie, IN",7,113,40.1936892,-85.3865271
"Metropolitan
Statistical Area",111020,"Altoona, PA",12,112,40.518681,-78.394736
"Metropolitan
Statistical Area",149700,"Yuba City, CA",3,112,39.1404477,-121.6169108
"Metropolitan
Statistical Area",110500,"Albany, GA",28,111,31.5782062,-84.1556809
"Metropolitan
Statistical Area",122140,"Farmington, NM",5,110,36.7291152,-108.205445
"Metropolitan
Statistical Area",125500,"Harrisonburg, VA",8,102,38.4493315,-78.8688833
"Metropolitan
Statistical Area",132900,"Merced, CA",8,101,37.1641544,-120.7678602
"Metropolitan
Statistical Area",140580,"Rocky Mount, NC",7,98,35.9423833,-77.7956949
"Metropolitan
Statistical Area",116940,"Cheyenne, WY",18,96,41.139981,-104.820246
"Metropolitan
Statistical Area",115180,"Brownsville-
Harlingen, TX",13,95,25.9738093,-97.5098892
"Metropolitan
Statistical Area",138540,"Pocatello, ID",4,94,42.8620287,-112.450627
"Metropolitan
Statistical Area",147220,"Vineland-Millville-
Bridgeton, NJ",8,92,39.460791,-75.165616
"Metropolitan
Statistical Area",137700,"Pascagoula, MS",2,91,30.3646795,-88.5585995
"Metropolitan
Statistical Area",110780,"Alexandria, LA",7,89,31.3119463,-92.4453558
"Metropolitan
Statistical Area",140660,"Rome, GA",8,85,34.257038,-85.1646726
"Metropolitan
Statistical Area",126300,"Hot Springs, AR",3,84,34.5038393,-93.0552437
"Metropolitan
Statistical Area",116020,"Cape Girardeau-
Jackson, MO-IL",2,83,40.00032,-89.25037
"Metropolitan
Statistical Area",148300,"Wenatchee-East
Wenatchee, WA",6,82,47.4156824,-120.293126
"Metropolitan
Statistical Area",144600,"Steubenville-
Weirton, OH-WV",2,81,40.3978457,-80.6220184
"Metropolitan
Statistical Area",111500,"Anniston-Oxford,
AL",5,80,33.6113674,-85.79178246868132
"Metropolitan
Statistical Area",130340,"Lewiston-Auburn,
ME",6,79,44.04808285,-70.28316628451043
"Metropolitan
Statistical Area",115260,"Brunswick, GA",5,77,31.1499528,-81.4914894
"Metropolitan
Statistical Area",127620,"Jefferson City, MO",10,75,38.577359,-92.1724265
"Metropolitan
Statistical Area",149740,"Yuma, AZ",5,75,32.723268,-114.6179954
"Metropolitan
Statistical Area",145500,"Texarkana, TX-
Texarkana, AR",2,71,33.4201041,-94.0425556
"Metropolitan
Statistical Area",110180,"Abilene, TX",8,70,32.44645,-99.7475905
"Metropolitan
Statistical Area",136140,"Ocean City, NJ",5,68,39.2776156,-74.5746001
"Metropolitan
Statistical Area",120020,"Dothan, AL",4,66,31.2237285,-85.3934375
"Metropolitan
Statistical Area",147580,"Warner Robins, GA",5,64,32.6200973,-83.606568
"Metropolitan
Statistical Area",119180,"Danville, IL",3,62,40.125222,-87.6304614
"Metropolitan
Statistical Area",130620,"Lima, OH",5,62,40.7399785,-84.105006
"Metropolitan
Statistical Area",144940,"Sumter, SC",2,55,33.9204354,-80.3414693
"Metropolitan
Statistical Area",147020,"Victoria, TX",3,55,28.8026443,-96.9766308
"Metropolitan
Statistical Area",123460,"Gadsden, AL",1,54,34.0128323,-86.0030251
"Metropolitan
Statistical Area",146660,"Valdosta, GA",5,52,30.8327022,-83.2784851
"Metropolitan
Statistical Area",127340,"Jacksonville, NC",11,48,34.7494749,-77.4208221
"Metropolitan
Statistical Area",119060,"Cumberland, MD-
WV",0,46,37.623809,-81.259714
"Metropolitan
Statistical Area",121820,"Fairbanks, AK",4,43,64.837845,-147.716675
"Metropolitan
Statistical Area",110380,"Aguadilla-Isabela-
San Sebasti锟絥, PR",3,42,-24.5,-51.33333
"Metropolitan
Statistical Area",119260,"Danville, VA",2,42,36.5879877,-79.3916713
"Metropolitan
Statistical Area",124500,"Great Falls, MT",3,42,47.5048851,-111.29189
"Metropolitan
Statistical Area",116220,"Casper, WY",5,42,42.8501191,-106.325138
"Metropolitan
Statistical Area",132420,"Mayag锟絜z, PR",3,41,-24.5,-51.33333
"Metropolitan
Statistical Area",125260,"Hanford-Corcoran,
CA",0,40,36.220468,-119.71776
"Metropolitan
Statistical Area",141660,"San Angelo, TX",3,39,31.4649685,-100.4405094
"Metropolitan
Statistical Area",120940,"El Centro, CA",3,38,32.792,-115.563051
"Metropolitan
Statistical Area",124140,"Goldsboro, NC",2,38,35.3848841,-77.9927651
"Metropolitan
Statistical Area",130020,"Lawton, OK",4,38,34.6086854,-98.3903305
"Metropolitan
Statistical Area",130300,"Lewiston, ID-WA",3,38,46.431462310618684,-117.05725589842984
"Metropolitan
Statistical Area",129700,"Laredo, TX",4,28,27.5075005,-99.5069922
"Metropolitan
Statistical Area",138220,"Pine Bluff, AR",0,25,34.2157064,-92.0140402
"Metropolitan
Statistical Area",125980,"Hinesville-Fort
Stewart, GA",0,10,31.83275155,-81.61737321802379
"Metropolitan
Statistical Area",138660,"Ponce, PR",0,8,18.066822350000002,-66.61404124357566
"Metropolitan
Statistical Area",141900,"San Germ锟絥-Cabo
Rojo, PR",1,8,18.08663,-67.14573
"Metropolitan
Statistical Area",125020,"Guayama, PR",0,7,18.017959400000002,-66.14650187228571
"Metropolitan
Statistical Area",149500,"Yauco, PR",1,5,18.06305045,-66.86292807125642
"Metropolitan
Statistical Area",121940,"Fajardo, PR",0,2,18.3278026,-65.65618322074886
